Region,Group,Dimension,Party,Vote_Pct_Regional
North,Ipsos 35-54,ipsos_age,Con,20.49
North,Ipsos 35-54,ipsos_age,Green,6.12
North,Ipsos 35-54,ipsos_age,IND,5.73
North,Ipsos 35-54,ipsos_age,LD,7.11
North,Ipsos 35-54,ipsos_age,Lab,42.42
North,Ipsos 35-54,ipsos_age,Reform,18.13
North,Ipsos 55+,ipsos_age,Con,26.32
North,Ipsos 55+,ipsos_age,Green,4.38
North,Ipsos 55+,ipsos_age,IND,2.95
North,Ipsos 55+,ipsos_age,LD,8.59
North,Ipsos 55+,ipsos_age,Lab,39.29
North,Ipsos 55+,ipsos_age,Reform,18.48
North,NS-SeC Higher,yg_nsec,Con,22.14
North,NS-SeC Higher,yg_nsec,Green,8.36
North,NS-SeC Higher,yg_nsec,IND,4.04
North,NS-SeC Higher,yg_nsec,LD,10.02
North,NS-SeC Higher,yg_nsec,Lab,41.98
North,NS-SeC Higher,yg_nsec,Reform,13.46
North,NS-SeC Intermediate,yg_nsec,Con,22.51
North,NS-SeC Intermediate,yg_nsec,Green,6.95
North,NS-SeC Intermediate,yg_nsec,IND,4.43
North,NS-SeC Intermediate,yg_nsec,LD,8.41
North,NS-SeC Intermediate,yg_nsec,Lab,41.73
North,NS-SeC Intermediate,yg_nsec,Reform,15.98
North,NS-SeC Routine,yg_nsec,Con,15.41
North,NS-SeC Routine,yg_nsec,Green,7.44
North,NS-SeC Routine,yg_nsec,IND,7.06
North,NS-SeC Routine,yg_nsec,LD,4.5
North,NS-SeC Routine,yg_nsec,Lab,45.99
North,NS-SeC Routine,yg_nsec,Reform,19.6
North,No Degree,education,Con,26.26
North,No Degree,education,Green,4.99
North,No Degree,education,IND,5.9
North,No Degree,education,LD,2.24
North,No Degree,education,Lab,35.34
North,No Degree,education,Reform,25.26
North,Non-White,eth_binary,Con,13.66
North,Non-White,eth_binary,Green,17.05
North,Non-White,eth_binary,IND,18.98
North,Non-White,eth_binary,LD,0.95
North,Non-White,eth_binary,Lab,42.5
North,Non-White,eth_binary,Reform,6.85
North,Owner,tenure,Con,21.86
North,Owner,tenure,Green,4.44
North,Owner,tenure,IND,4.17
North,Owner,tenure,LD,8.49
North,Owner,tenure,Lab,44.15
North,Owner,tenure,Reform,16.88
North,Renter,tenure,Con,14.61
North,Renter,tenure,Green,12.38
North,Renter,tenure,IND,8.05
North,Renter,tenure,LD,3.87
North,Renter,tenure,Lab,42.94
North,Renter,tenure,Reform,18.15
North,White,eth_binary,Con,20.08
North,White,eth_binary,Green,5.82
North,White,eth_binary,IND,3.48
North,White,eth_binary,LD,7.72
North,White,eth_binary,Lab,43.91
North,White,eth_binary,Reform,19.0
Scotland,ABC1,ipsos_grade,Con,11.75
Scotland,ABC1,ipsos_grade,Green,4.64
Scotland,ABC1,ipsos_grade,IND,1.49
Scotland,ABC1,ipsos_grade,LD,11.42
Scotland,ABC1,ipsos_grade,Lab,36.01
Scotland,ABC1,ipsos_grade,Reform,5.95
Scotland,ABC1,ipsos_grade,SNP,28.75
Scotland,Age 18-24,yg_age,Con,2.56
Scotland,Age 18-24,yg_age,Green,4.32
Scotland,Age 18-24,yg_age,IND,1.47
Scotland,Age 18-24,yg_age,LD,15.56
Scotland,Age 18-24,yg_age,Lab,41.68
Scotland,Age 18-24,yg_age,Reform,5.76
Scotland,Age 18-24,yg_age,SNP,28.65
Scotland,Age 25-49,yg_age,Con,10.37
Scotland,Age 25-49,yg_age,Green,5.68
Scotland,Age 25-49,yg_age,IND,1.51
Scotland,Age 25-49,yg_age,LD,5.1
Scotland,Age 25-49,yg_age,Lab,39.96
Scotland,Age 25-49,yg_age,Reform,6.72
Scotland,Age 25-49,yg_age,SNP,30.66
